mem,bandwidth(MB/ms)
84017152,9.81
84082688,10.26
84148224,10.26
84213760,10.26
84279296,10.21
84344832,10.25
84410368,10.26
84475904,10.25
84541440,10.22
84606976,9.8
84672512,10.25
84738048,10.24
84803584,10.24
84869120,10.22
84934656,9.72
85000192,10.22
85065728,10.23
85131264,10.23
85196800,10.21
85262336,10.22
85327872,10.26
85393408,10.27
85458944,10.24
85524480,10.25
85590016,10.25
85655552,10.25
85721088,10.25
85786624,9.73
85852160,10.23
85917696,10.23
85983232,10.21
86048768,10.22
86114304,9.66
86179840,10.26
86245376,10.23
86310912,10.26
86376448,10.25
86441984,9.95
86507520,10.09
86573056,10.24
86638592,10.23
86704128,9.84
86769664,10.14
86835200,10.19
86900736,10.2
86966272,10.2
87031808,9.96
87097344,9.46
87162880,9.95
87228416,10.11
87293952,9.78
87359488,9.87
87425024,10.18
87490560,10.19
87556096,10.23
87621632,10.12
87687168,10.06
87752704,10.14
87818240,10.09
87883776,10.11
87949312,10.2
88014848,10.21
88080384,10.21
88145920,10.22
88211456,10.21
88276992,10.23
88342528,10.24
88408064,10.26
88473600,10.25
88539136,10.26
88604672,10.26
88670208,10.21
88735744,10.07
88801280,10.2
88866816,10.22
88932352,10.24
88997888,10.22
89063424,10.21
89128960,10.23
89194496,10.25
89260032,10.25
89325568,10.24
89391104,10.24
89456640,10.26
89522176,10.25
89587712,10.22
89653248,10.24
89718784,10.24
89784320,10.24
89849856,10.25
89915392,10.06
89980928,10.14
90046464,10.17
90112000,10.2
90177536,9.97
90243072,10.23
90308608,10.25
90374144,10.24
90439680,9.71
90505216,10.25
90570752,10.26
90636288,10.25
90701824,9.86
90767360,10.25
90832896,10.26
90898432,10.13
90963968,10.04
91029504,10.23
91095040,10.24
91160576,10.25
91226112,10.21
91291648,10.21
91357184,10.25
91422720,10.22
91488256,10.22
91553792,10.17
91619328,10.22
91684864,10.24
91750400,10.25
91815936,9.81
91881472,10.25
91947008,10.25
92012544,10.2
92078080,10.23
92143616,10.24
92209152,10.24
92274688,10.24
92340224,10.23
92405760,10.25
92471296,10.26
92536832,10.27
92602368,10.25
92667904,9.8
92733440,10.24
92798976,10.24
92864512,10.24
92930048,9.88
92995584,10.24
93061120,10.26
93126656,10.24
93192192,10.23
93257728,10.22
93323264,10.24
93388800,10.24
93454336,10.22
93519872,10.24
93585408,10.27
93650944,10.25
93716480,10.26
93782016,10.25
93847552,10.26
93913088,10.26
93978624,10.26
94044160,10.23
94109696,10.23
94175232,10.24
94240768,10.23
94306304,10.22
94371840,10.04
94437376,10.24
94502912,10.22
94568448,10.24
94633984,9.84
94699520,10.26
94765056,10.23
94830592,10.22
94896128,10.21
94961664,10.24
95027200,10.25
95092736,10.23
95158272,10.23
95223808,10.24
95289344,10.23
